Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
2,MACDONALD/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent,84000,115000,8.6 km,17 km/h,17,5020268,15775,10700,8428,5524,81%,7421251,68715,Burrard; Dunbar,Expo/Millennium Line,20806.10047,2019,1,20806.10047
3,MAIN/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,79000,106000,10 km,14 km/h,10,6988097,20968,18206,12899,838,68%,8360795,77415,Main Street-Science World; Marine Drive; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,22571.99944,2019,2,22571.99944
4,POWELL/DOWNTOWN/UBC,Vancouver/UBC,Std. Trolley,Peak Frequent,123000,163000,14.2 km,18 km/h,27,3581554,10551,9213,7539,6508,80%,6652412,61596,Blanca; Granville; NightBus District; UBC; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,46162.71271,2019,3,46162.71271
005/006,ROBSON–DAVIE/DOWNTOWN,Vancouver/UBC,Std. Trolley,All Day Frequent,113000,135000,3.4 km,10 km/h,15,6264701,18364,15383,14081,6614,83%,10007307,92660,Burrard; Stadium-Chinatown; Yaletown-Roundhouse,Canada Line; Expo/Millennium Line,11160.27317,2019,4,11160.27317
7,NANAIMO STN/DUNBAR,Vancouver/UBC,Std. Trolley,Standard,146000,150000,15.7 km,16 km/h,19,4917647,14408,12888,10566,5320,75%,8353539,77348,Dunbar; Granville; Nanaimo; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,41927.12586,2019,5,41927.12586
8,FRASER/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,81000,102000,8.9 km,14 km/h,14,6270330,19065,14293,12247,1857,73%,8069972,74722,Main Street-Science World; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,19962.39622,2019,6,19962.39622
9,BOUNDARY/COMM'L-BDWAY STN/GRANVILLE/ALMA/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,114000,86000,10.5 km,15 km/h,8,7466169,23243,15634,13667,7865,80%,11652774,107896,Boundary; Broadway-City Hall; Commercial-Broadway; UBC,Canada Line; Expo/Millennium Line,33368.11171,2019,7,33368.11171
10,GRANVILLE/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,100000,140000,10.5 km,16 km/h,20,4821371,15581,8481,7840,1739,76%,8259927,76481,Granville; Marine Drive; Marpole; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,31379.13157,2019,8,31379.13157
14,HASTINGS/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,140000,185000,13.2 km,17 km/h,16,5864706,17078,15571,12714,11866,77%,10119170,93696,Blanca; Granville; Kootenay; NightBus District; UBC; Vancouver City Centre,Canada Line; Expo/Millennium Line,40752.27691,2019,9,40752.27691
015/050,CAMBIE/OLYMPIC VLG STN – WATERFRONT STN/FALSE CREEK S,Vancouver/UBC,Std. Bus,Standard,125000,175000,6.7 km,16 km/h,35,3163479,9510,7559,6353,1741,78%,6216282,57558,Broadway-City Hall; Granville; King Edward; Langara-49th Avenue; Marine Drive; NightBus District; Oakridge-41st Avenue; Olympic Village; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,40758.86987,2019,10,40758.86987
