Stop_Number,Municipality,Stop_Avg_Daily_Boardings_MF,Stop_Avg_Daily_Alightings_MF,Stop_Avg_Daily_Boardings_Sat,Stop_Avg_Daily_Alightings_Sat,Stop_Avg_Daily_Boardings_SunHol,Stop_Avg_Daily_Alightings_SunHol,TSPR_Year,Stop_Latitude,Stop_Longitude
50724,Vancouver,107,142,101,125,73,98,2022,49.269899,-123.05646
50726,Vancouver,122,153,112,105,58,87,2022,49.273616,-123.056442
50735,Vancouver,89,367,88,331,63,220,2022,49.281413,-123.056378
50737,Vancouver,216,437,158,346,144,272,2022,49.234424,-123.185469
50947,Vancouver,878,1145,645,879,483,701,2022,49.281059,-123.055828
51004,Vancouver,48,85,219,381,126,190,2022,49.276811,-123.124629
51006,Vancouver,18,37,89,178,50,99,2022,49.278835,-123.121579
54830,Vancouver,89,10,331,26,168,25,2022,49.282906,-123.119595
54831,Vancouver,119,15,464,58,214,30,2022,49.281831,-123.121239
50723,Vancouver,56,74,43,62,37,53,2022,49.266968,-123.056457
50722,Vancouver,37,36,37,31,25,25,2022,49.265123,-123.056462
50721,Vancouver,219,76,130,89,125,82,2022,49.262477,-123.056433
50720,Vancouver,15,26,14,25,11,20,2022,49.260339,-123.056471
50718,Vancouver,50,74,63,77,34,52,2022,49.257382,-123.056473
50717,Vancouver,8,18,10,16,8,14,2022,49.255356,-123.056484
50716,Vancouver,32,29,27,24,25,21,2022,49.252691,-123.056482
50715,Vancouver,32,0,38,0,17,0,2022,49.251051,-123.056489
50689,Vancouver,551,629,485,539,433,500,2022,49.280463,-123.100688
50687,Vancouver,51,65,43,45,35,30,2022,49.250268,-123.056774
50686,Vancouver,13,24,15,19,9,26,2022,49.252026,-123.056768
50685,Vancouver,26,13,20,12,14,9,2022,49.254756,-123.056762
50683,Vancouver,80,220,104,134,69,107,2022,49.261831,-123.056764
50680,Vancouver,22,47,24,40,10,28,2022,49.265535,-123.056743
50679,Vancouver,30,29,34,25,23,20,2022,49.267411,-123.056736
