Name,Line,Municipality,Route_Connections,Rail_SeaBus_Connections,Annual_Boardings,Annual_Alightings,Employment,Population
22nd Street Station,Expo/Millennium Line,New Westminster,100; 101; 104; 128; 155; 340; 388; 410; 418,Expo/Millennium Line,3430000,3340000,1000,5000
29th Avenue Station,Expo/Millennium Line,Vancouver,016; 026; 029; 033,Expo/Millennium Line,2280000,2300000,3000,16000
Aberdeen Station,Canada Line,Richmond,403; 410; N10,Canada Line,1360000,1440000,21000,6000
Braid Station,Expo/Millennium Line,New Westminster,128; 153; 155; 156; 159; 169; 791,Expo/Millennium Line,1470000,1500000,5000,5000
Brentwood Town Centre Station,Expo/Millennium Line,Burnaby,025; 123; 130; 134; 136; 222; N9,Expo/Millennium Line,2280000,2410000,15000,23000
Bridgeport Station,Canada Line,Richmond,311; 351; 352; 354; 403; 407; 412; 430; 601; 602; 603; 604; 620; N10,Canada Line,3290000,3350000,7000,7000
Broadway-City Hall Station,Canada Line,Vancouver,009; 015/050; 017; 099; N15; N9,Canada Line,3540000,3550000,35000,19000
Burquitlam Station,Expo/Millennium Line,Coquitlam,143; 151; 156; 157; 180; N9,Expo/Millennium Line,1570000,1600000,3000,17000
Burrard Station,Expo/Millennium Line,Vancouver,002; 005/006; 019; 022; 044; 209; 210; 211; 214; N22; N24; R5,Expo/Millennium Line,6000000,6100000,127000,36000
Columbia Station,Expo/Millennium Line,New Westminster,102/103; 105; 109; 321; N19,Expo/Millennium Line,1430000,1240000,10000,17000
Commercial-Broadway Station,Expo/Millennium Line,Vancouver,009; 020; 099; N20; N9,Expo/Millennium Line,6760000,7060000,11000,17000
Coquitlam Central Station,Expo/Millennium Line,Coquitlam,150; 151; 152; 153; 159; 160; 169; 171/172; 173/174; 175; 179; 183; 184/185; 186; 187; 188; 189; 191; 701; N9; R3,Expo/Millennium Line; West Coast Express,1610000,1690000,9000,5500
Coquitlam Central Station,West Coast Express,Coquitlam,150; 151; 152; 153; 159; 160; 169; 171/172; 173/174; 175; 179; 183; 184/185; 186; 187; 188; 189; 191; 701; N9; R3,Expo/Millennium Line; West Coast Express,150000,150000,9000,5500
Edmonds Station,Expo/Millennium Line,Burnaby,101; 106; 112; 116; 119; 129/133; 147; 148,Expo/Millennium Line,3490000,3390000,5000,18000
Gateway Station,Expo/Millennium Line,Surrey,335; 371; 373,Expo/Millennium Line,2230000,1970000,5000,14000
Gilmore Station,Expo/Millennium Line,Burnaby,028; 129/133,Expo/Millennium Line,1040000,930000,17000,12000
Granville Station,Expo/Millennium Line,Vancouver,004; 007; 010; 014; 015/050; 016; 017; 020; N10; N15; N17; N19; N20; N24; N35; N8; N9,Canada Line; Expo/Millennium Line,6150000,7240000,146000,38000
Holdom Station,Expo/Millennium Line,Burnaby,129/133; 136; N9,Expo/Millennium Line,860000,760000,7000,9000
Inlet Centre Station,Expo/Millennium Line,Port Moody,160; 179; 183; 184/185; N9,Expo/Millennium Line,650000,650000,6000,13000
Joyce-Collingwood Station,Expo/Millennium Line,Vancouver,026; 027; 028; 041; R4,Expo/Millennium Line,5110000,5180000,7000,25000
King Edward Station,Canada Line,Vancouver,015/050; 025; 033; N15,Canada Line,2130000,2130000,6000,10000
King George Station,Expo/Millennium Line,Surrey,314; 321; 326; 329; 345; 394; 395; 502; 503; R1,Expo/Millennium Line,4410000,2230000,16000,20000
Lafarge Lake-Douglas Station,Expo/Millennium Line,Coquitlam,160; 183; 186; 188; 191; N9,Expo/Millennium Line,750000,750000,10000,22000
Lake City Way Station,Expo/Millennium Line,Burnaby,134; N9,Expo/Millennium Line,290000,300000,7000,3000
Langara-49th Avenue Station,Canada Line,Vancouver,015/050; 049; N15,Canada Line,2510000,2420000,3000,12000
Lansdowne Station,Canada Line,Richmond,403; 405; 407; 410; 416; N10,Canada Line,1580000,1610000,28000,27000
Lincoln Station,Expo/Millennium Line,Coquitlam,160; 183; 186; 188; N9,Expo/Millennium Line,1220000,1130000,13000,22000
Lougheed Town Centre Station,Expo/Millennium Line,Burnaby,101; 109; 110; 136; 152; 156; 157; 180; 555; N9,Expo/Millennium Line,3770000,3720000,10000,20000
Main Street-Science World Station,Expo/Millennium Line,Vancouver,003; 008; 019; 022; 023; N19; N8,Expo/Millennium Line,3830000,3730000,24000,22000
Maple Meadows Station,West Coast Express,Maple Ridge,595; 701; 719/722; 743; 744; 791,West Coast Express,110000,100000,7000,4000
Marine Drive Station,Canada Line,Vancouver,003; 010; 015/050; 017; 080; 100; N15; N20; N8,Canada Line,3410000,3390000,7000,12000
Metrotown Station,Expo/Millennium Line,Burnaby,019; 031; 049; 110; 116; 119; 129/133; 130; 144; 146; 147; 222; 430,Expo/Millennium Line,8510000,9210000,23000,32000
Mission City Station,West Coast Express,Mission,701,West Coast Express,100000,70000,4000,3000
Moody Centre Station,Expo/Millennium Line,Port Moody,160; 180; 181; 182; 183; 184/185,Expo/Millennium Line; West Coast Express,790000,730000,4000,9000
Moody Centre Station,West Coast Express,Port Moody,160; 180; 181; 182; 183; 184/185,Expo/Millennium Line; West Coast Express,180000,200000,4000,9000
Nanaimo Station,Expo/Millennium Line,Vancouver,007; 025,Expo/Millennium Line,2220000,2210000,3000,14000
New Westminster Station,Expo/Millennium Line,New Westminster,102/103; 105; 106; 109; 112; 123; 321; N19,Expo/Millennium Line,4560000,4720000,12000,21000
Oakridge-41st Avenue Station,Canada Line,Vancouver,015/050; 041; N15; R4,Canada Line,2330000,2250000,3000,13000
Olympic Village Station,Canada Line,Vancouver,015/050; 084,Canada Line,1290000,1170000,36000,17000
Patterson Station,Expo/Millennium Line,Burnaby,110; 129/133,Expo/Millennium Line,1410000,1450000,20000,24000
Pitt Meadows Station,West Coast Express,Pitt Meadows,701; 719/722; 791,West Coast Express,50000,50000,3000,10000
Port Coquitlam Station,West Coast Express,Port Coquitlam,159; 160; 170; 173/174; 175; 188,West Coast Express,140000,140000,8000,8000
Port Haney Station,West Coast Express,Maple Ridge,733; 741; 743; 745/746; 748,West Coast Express,80000,70000,4000,6000
Production Way-University Station,Expo/Millennium Line,Burnaby,110; 136; 145; N9,Expo/Millennium Line,1430000,1420000,14000,4000
Renfrew Station,Expo/Millennium Line,Vancouver,16,Expo/Millennium Line,1380000,1310000,11000,10000
Richmond-Brighouse Station,Canada Line,Richmond,301; 401; 402; 403; 404; 405; 406; 408; 410; 414; 416; 430; N10,Canada Line,3620000,3430000,23000,26000
Royal Oak Station,Expo/Millennium Line,Burnaby,148,Expo/Millennium Line,1800000,1780000,20000,19000
Rupert Station,Expo/Millennium Line,Vancouver,27,Expo/Millennium Line,860000,820000,11000,8000
Sapperton Station,Expo/Millennium Line,New Westminster,109,Expo/Millennium Line,970000,900000,7000,7000
Scott Road Station,Expo/Millennium Line,Surrey,312; 319; 321; 371; 391; 640; N19; R6,Expo/Millennium Line,4020000,4110000,4000,3000
Sea Island Centre Station,Canada Line,Richmond,N10,Canada Line,320000,350000,6000,400
Sperling-Burnaby Lake Station,Expo/Millennium Line,Burnaby,110; 134; 144,Expo/Millennium Line,590000,540000,3000,4000
Stadium-Chinatown Station,Expo/Millennium Line,Vancouver,005/006; 023; 257; N15; N24,Expo/Millennium Line,4930000,5080000,76000,41000
Surrey Central Station,Expo/Millennium Line,Surrey,314; 316; 320; 321; 323; 324; 325; 326; 329; 335; 337; 371; 373; 393; 501; 502; 503; 509; N19; R1,Expo/Millennium Line,6010000,7830000,15000,23000
Templeton Station,Canada Line,Richmond,N10,Canada Line,1280000,1340000,2000,200
Vancouver City Centre Station,Canada Line,Vancouver,004; 007; 010; 014; 015/050; 016; 017; 020; 240; 241; 246/249; 247; 250; 253; 254; 257; N15; N19; N20; N22; N24; N35; N8,Canada Line; Expo/Millennium Line,4970000,5250000,149000,48000
VCC-Clark Station,Expo/Millennium Line,Vancouver,84,Expo/Millennium Line,880000,770000,14000,16000
Waterfront Station,Canada Line,Vancouver,003; 004; 007; 008; 010; 015/050; 044; N8; R5,Canada Line; Expo/Millennium Line; SeaBus; West Coast Express,4510000,4780000,118000,22333
Waterfront Station,Expo/Millennium Line,Vancouver,003; 004; 007; 008; 010; 015/050; 044; N8; R5,Canada Line; Expo/Millennium Line; SeaBus; West Coast Express,5960000,4830000,118000,22333
Waterfront Station,West Coast Express,Vancouver,003; 004; 007; 008; 010; 015/050; 044; N8; R5,Canada Line; Expo/Millennium Line; SeaBus; West Coast Express,740000,770000,118000,22333
Yaletown-Roundhouse Station,Canada Line,Vancouver,005/006; 023,Canada Line,3060000,3010000,60000,53000
YVR-Airport Station,Canada Line,Richmond,,Canada Line,2920000,2650000,5000,0
